Sl.No,Player's Name,Team,From,Run,Ball,Strike Rate,4's,6's,Highest Run Scored,Balls  Bowled,Runs Scored,Economy,Wickets,Ct_St,Run Outs,Matches Played,Age,Type
88,Sam Billings,DD,ENG,138,104,132.7,19,1,55,0,0,-,0,4,0,6,26,WK
89,Sam Billings,DD,ENG,138,104,132.7,19,1,55,0,0,-,0,4,0,6,26,WK
90,Sandeep Sharma,KXI,IND,7,6,116.7,0,0,5,288,398,8.3,17,3,0,13,24,Bowl
91,Sanju Samson,DD,IND,386,273,141.4,32,19,102,0,0,-,0,4,1,14,22,WK
92,Sanju Samson,DD,IND,386,273,141.4,32,19,102,0,0,-,0,4,1,14,22,WK
93,Sarfaraz Khan,RCB,IND,0,0,-,0,0,0,0,0,-,0,0,0,0,19,BAT
94,Shakib Al Hasan,KKR,BAN,1,1,100,0,0,1,18,31,10.3,0,0,0,1,30,AR
95,Shane Watson,RCB,AUS,71,78,91,6,1,24,161,245,9.1,5,2,0,8,36,AR
96,Shardul Thakur,KXI,IND,0,0,-,0,0,0,0,0,-,0,0,0,0,26,Bowl
97,Shardul Thakur,RPS,IND,0,3,0,0,0,0,229,315,8.3,11,4,2,12,26,Bowl
98,Shashank Singh,DD,IND,0,0,-,0,0,0,0,0,-,0,0,0,0,25,AR
99,Shikhar Dhawan,SH,IND,479,376,127.4,53,9,77,0,0,-,0,7,0,14,31,BAT
100,Shreyas Gopal,MI,IND,0,0,-,0,0,0,0,0,-,0,0,0,0,24,Bowl
101,Shreyas Iyer,DD,IND,338,243,139.1,36,10,96,0,0,-,0,3,0.5,12,22,BAT
102,Siddarth Kaul,SH,IND,0,2,0,0,0,0,214,300,8.4,16,3,0,10,27,Bowl
103,Siddhesh Lad,MI,IND,0,0,-,0,0,0,0,0,-,0,0,0,0,25,BAT
104,Steven Smith,RPS,WI,472,387,122,38,12,84,0,0,-,0,7,1.5,15,28,BAT
105,Stuart Binny,RCB,IND,78,76,102.6,6,3,18,36,50,8.3,4,1,0,8,33,AR
106,Sunil Narine,KKR,WI,224,130,172.3,34,10,54,354,412,7,10,4,0,16,29,Bowl
107,Suresh Raina,GL,IND,442,307,144,42,13,84,72,102,8.5,1,4,1,14,30,BAT
108,Suryakumar Yadav,KKR,IND,105,88,119.3,8,3,31,0,0,-,0,3,0,10,27,BAT
109,T Natarajan,KXI,IND,0,0,-,0,0,0,76,115,9.1,2,0,0,6,26,Bowl
110,Tim Southee,MI,NZ,7,3,233.3,0,1,7,60,96,9.6,3,1,0,3,28,Bowl
111,Trent Boult,KKR,NZ,5,8,62.5,0,0,5,143,216,9.1,5,0,0,6,28,Bowl
112,Umesh Yadav,KKR,IND,10,13,76.9,0,0,4,291,410,8.5,17,4,0,14,29,Bowl
113,Varun Aaron,KXI,IND,4,10,40,0,0,4,120,163,8.2,7,0,0,6,27,Bowl
114,Vijay Shankar,SH,IND,101,75,134.7,12,1,63,0,0,-,0,3,0.5,4,26,AR
115,Virat Kohli,RCB,IND,308,252,122.2,23,11,64,0,0,-,0,5,0.5,10,28,BAT
116,Yusuf Pathan,KKR,IND,143,115,124.3,9,6,59,24,41,10.3,1,2,0,15,34,BAT
117,Yuvraj Singh,SH,IND,252,177,142.4,30,8,70,12,22,11,1,3,0.5,12,35,AR
