Sl. No,Player,Team,From,Runs,Balls,Strike Rate,Wickets,Balls Bowled,Runs Conceded,Economy,Ct_St,Run Outs,Matches Played,Age
145,Murali Vijay ,CSK,IND,60,67,89.55223881,0,0,0,#DIV/0!,2,0,4,24
146,Murtuza Hussain ,KKR,IND,0,0,#DIV/0!,0,0,0,#DIV/0!,0,0,0,22
147,N Einstein ,CSK,IND,0,0,#DIV/0!,0,0,0,#DIV/0!,0,0,0,19
148,Naman Ojha ,RR,IND,168,144,116.6666667,0,0,0,#DIV/0!,6,1,8,25
149,Nathan Bracken ,RCB,AUS,0,0,#DIV/0!,0,0,0,#DIV/0!,0,0,0,31
150,Natraj Behera ,KKR,IND,0,0,#DIV/0!,0,0,0,#DIV/0!,0,0,0,22
151,Niraj Patel ,RR,IND,18,38,47.36842105,0,0,0,#DIV/0!,4,0,4,28
152,Nuwan Zoysa ,DC,SL,0,0,#DIV/0!,0,0,0,#DIV/0!,0,0,0,31
153,Owais Shah ,DD,ENG,0,0,#DIV/0!,0,0,0,#DIV/0!,0,0,0,30
154,P  Vijaykumar ,DC,IND,0,0,#DIV/0!,0,0,0,#DIV/0!,0,0,0,22
155,P Amarnath ,CSK,IND,0,0,#DIV/0!,0,0,0,#DIV/0!,0,0,0,26
156,Pankaj Singh ,RCB,IND,1,2,50,2,42,65,9.285714286,1,0,3,23
157,Parag More ,RR,IND,0,0,#DIV/0!,0,0,0,#DIV/0!,0,0,0,23
158,Paras Dogra ,RR,IND,0,0,#DIV/0!,0,0,0,#DIV/0!,0,0,0,24
159,Parthiv Patel  ,CSK,IND,142,126,112.6984127,0,0,0,#DIV/0!,3,0,9,24
160,Paul Collingwood ,DD,ENG,0,0,#DIV/0!,0,0,0,#DIV/0!,0,0,0,32
161,Paul Valthaty ,RR,IND,6,12,50,0,0,0,#DIV/0!,0,0,2,25
162,Pinal Shah ,MI,IND,53,51,103.9215686,0,0,0,#DIV/0!,8,2,9,21
163,Piyush Chawla ,KXI,IND,31,36,86.11111111,12,269,308,6.869888476,6,0,14,20
164,PM Sarvesh Kumar ,DC,IND,0,0,#DIV/0!,0,0,0,#DIV/0!,0,0,0,20
165,Pradeep Sangwan ,DD,IND,6,10,60,15,280,360,7.714285714,3,1,13,18
166,Pragyan Ojha ,DC,IND,1,7,14.28571429,18,321,348,6.504672897,2,0,15,22
167,Praveen Kumar ,RCB,IND,65,46,141.3043478,13,298,394,7.932885906,2,2,13,22
168,R Ashwin ,CSK,IND,8,15,53.33333333,2,24,13,3.25,2,0,2,22
169,R v d Merwe ,RCB,SA,122,98,124.4897959,9,204,247,7.264705882,5,0.5,10,24
170,Rahil Shaikh ,MI,IND,0,0,#DIV/0!,0,6,11,11,0,0,1,23
171,Rahul Dravid ,RCB,IND,271,234,115.8119658,0,0,0,#DIV/0!,2,1,13,36
172,Raiphi Gomez ,RR,IND,0,0,#DIV/0!,0,0,0,#DIV/0!,0,0,0,23
173,Rajat Bhatia ,DD,IND,8,18,44.44444444,10,130,146,6.738461538,4,0,8,29
174,Rajesh Bishnoi ,RCB,IND,19,17,111.7647059,0,0,0,#DIV/0!,1,0,3,21
175,Raju Bhatkal ,RCB,IND,0,0,#DIV/0!,0,0,0,#DIV/0!,0,0,0,23
176,Ramesh Powar ,KXI,IND,23,22,104.5454545,5,126,132,6.285714286,3,0,9,31
177,Ranadeb Bose,KXI,IND,0,0,#DIV/0!,0,12,24,12,0,0,1,30
178,Ravi Bopara ,KXI,ENG,138,119,115.9663866,0,8,5,3.75,1,0,5,24
179,Ravindra Jadeja ,RR,IND,295,266,110.9022556,6,140,151,6.471428571,4,0.5,13,20
180,RK Sabharwal ,RCB,IND,0,0,#DIV/0!,0,0,0,#DIV/0!,0,0,0,31
181,Rob Quiney ,RR,AUS,103,102,100.9803922,0,0,0,#DIV/0!,1,0,7,26
