Sl no,Player Name,Team,From,Runs,Balls,Four,Six,Highest Run Scored,Strike Rate,Balls Bowled,Runs Conceded,Economy,Wickets,ct_st,Run Outs,Matches Played,Age
103,Manish Pandey,RCB,IND,249,226,27,7,42,110.1769912,0,0,#DIV/0!,0,6,0.5,13,20
104,Manoj Tiwary,KKR,IND,237,186,23,5,75,127.4193548,6,11,11,1,4,0,13,24
105,Manpreet Gony,CSK,IND,2,6,0,0,2,33.33333333,48,92,11.5,1,1,0,3,26
106,Manvinder Bisla ,KXI,IND,218,178,27,6,75,122.4719101,0,0,#DIV/0!,0,4,0,10,25
107,Mark Boucher ,RCB,SA,13,10,0,1,11,130,0,0,#DIV/0!,0,5,0.5,5,33
108,Matthew Hayden,CSK,AUS,346,279,37,16,93,124.0143369,0,0,#DIV/0!,0,6,1.5,16,38
109,MB Parmer,KKR,IND,0,0,0,0,0,#DIV/0!,18,33,11,0,0,0,1,22
110,Michael Hussey,CSK,AUS,37,44,2,0,15,84.09090909,0,0,#DIV/0!,0,0,0,3,34
111,Michael Lumb,RR,SA,278,192,45,6,83,144.7916667,0,0,#DIV/0!,0,4,0,11,30
112,Mitchell Marsh,DC,AUS,28,30,1,1,15,93.33333333,60,88,8.8,2,0,0.5,3,18
113,Mithun Manhas,DD,IND,157,149,14,0,32,105.3691275,0,0,#DIV/0!,0,5,2,9,30
114,Mohammad Kaif,KXI,IND,28,30,2,0,14,93.33333333,0,0,#DIV/0!,0,3,0,4,29
115,Moises Henriques,DD,AUS,11,5,2,0,11,220,24,35,8.75,1,1,0,1,23
116,Monish Mishra,DC,IND,166,144,18,6,41,115.2777778,0,0,#DIV/0!,0,1,0,11,26
117,Morne Morkel,RR,SA,9,16,1,0,7,56.25,42,66,9.428571429,0,1,0,2,25
118,MS Dhoni,CSK,IND,287,210,24,9,66,136.6666667,0,0,#DIV/0!,0,11,3.8,13,28
119,Munaf Patel,RR,IND,4,5,0,0,4,80,78,118,9.076923077,3,1,0,4,26
120,Murali Kartik,KKR,IND,22,4,2,0,21,550,234,253,6.487179487,9,5,0.5,10,33
121,Murali Vijay,CSK,IND,458,292,36,26,127,156.8493151,0,0,#DIV/0!,0,11,0.3,15,25
122,Murtaza Ali,MI,IND,0,0,0,0,0,#DIV/0!,72,91,7.583333333,3,1,0,3,20
123,Muttiah Muralitharan,CSK,SL,1,2,0,0,1,50,288,329,6.854166667,15,3,0,12,38
124,Naman Ojha ,RR,IND,377,285,42,15,94,132.2807018,0,0,#DIV/0!,0,6,2.4,14,26
125,Owais Shah,KKR,ENG,115,95,7,5,58,121.0526316,0,0,#DIV/0!,0,0,0,5,31
126,P Dogra,RR,IND,107,106,4,5,41,100.9433962,0,0,#DIV/0!,0,2,0,8,25
