Sl No,Player Name,Team,From,Runs,Balls ,Strike Rate,Four,Six,Highest Runs Scored,Balls Bowled,Runs Conceded,Wicket,Economy,ct_st,Run Outs,Matches Played,Age
195,Wriddhiman Saha ,KKR,IND,67,53,126.4150943,9,1,22,0,0,0,#DIV/0!,6,0,13,25
196,XRCB,RCB,IND,1,2,50,0,0,1,48,81,2,10.125,0,0,2,
197,XDC,DC,,,,,,,0,,,,,0,0,0,
198,Y Nagar,DD,IND,1,6,16.66666667,0,0,1,18,28,1,9.333333333,2,0,1,20
199,YRCB,RCB,IND,0,0,#DIV/0!,0,0,0,24,17,1,4.25,0,0,1,
200,YDC,DC,,0,0,#DIV/0!,0,0,0,0,0,0,#DIV/0!,0,0,0,
201,Yusuf Abdulla,KXI,SA,0,1,0,0,0,0,41,66,1,9.658536585,0,0,2,27
202,Yusuf Pathan,RR,IND,333,201,165.6716418,22,24,100,204,246,5,7.235294118,9,1,14,27
203,Yuvraj Singh,KXI,IND,255,199,128.1407035,20,14,43,138,152,5,6.608695652,2,0,14,28
204,Zaheer Khan,MI,IND,24,13,184.6153846,3,1,23,290,376,15,7.779310345,4,0,14,31
